date,store_id,store_name,city,gmv,placed,orders,bad_orders,failed_orders,active_time,working_time,availability_observations,online_hours,scheduled_hours,availability_pct,bad_order_rate_pct,failed_order_rate_pct,gmv_dod_pct,orders_dod_pct,bad_orders_dod_pct,failed_orders_dod_pct,availability_dod_pp,online_hours_dod_pct,gmv_wow_pct,orders_wow_pct,bad_orders_wow_pct,failed_orders_wow_pct,availability_wow_pp,online_hours_wow_pct,week,currency
2026-06-01,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,44.28944141295559,3,3,0,0,701.0,701.0,1,11.6833,11.6833,100.0,0.0,0.0,,,,,,,,,,,,,2026-06-01,EUR
2026-06-02,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,96.23887315554072,17,10,1,7,700.3166666666667,700.3166666666667,1,11.6719,11.6719,100.0,10.0,41.18,117.3,233.33,,,0.0,-0.1,,,,,,,2026-06-01,EUR
2026-06-03,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,27.978490388824177,3,3,0,0,701.0,701.0,1,11.6833,11.6833,100.0,0.0,0.0,-70.93,-70.0,-100.0,-100.0,0.0,0.1,,,,,,,2026-06-01,EUR
2026-06-04,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,25.43187698583433,1,1,0,0,701.6,701.6,1,11.6933,11.6933,100.0,0.0,0.0,-9.1,-66.67,,,0.0,0.09,,,,,,,2026-06-01,EUR
2026-06-05,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,45.24682295122939,5,4,0,1,700.3166666666667,700.3166666666667,1,11.6719,11.6719,100.0,0.0,20.0,77.91,300.0,,,0.0,-0.18,,,,,,,2026-06-01,EUR
2026-06-06,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,96.8150866830719,9,9,3,0,701.0,701.0,1,11.6833,11.6833,100.0,33.33,0.0,113.97,125.0,,-100.0,0.0,0.1,,,,,,,2026-06-01,EUR
2026-06-07,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,42.35570582467216,4,4,3,0,701.0,701.0,1,11.6833,11.6833,100.0,75.0,0.0,-56.25,-55.56,0.0,,0.0,0.0,,,,,,,2026-06-01,EUR
2026-06-08,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,42.9015732088553,4,4,1,0,700.1,700.1,1,11.6683,11.6683,100.0,25.0,0.0,1.29,0.0,-66.67,,0.0,-0.13,-3.13,33.33,,,0.0,-0.13,2026-06-08,EUR
2026-06-09,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,34.47117644057635,4,4,0,0,701.6666666666666,701.6666666666666,1,11.6944,11.6944,100.0,0.0,0.0,-19.65,0.0,-100.0,,0.0,0.22,-64.18,-60.0,-100.0,-100.0,0.0,0.19,2026-06-08,EUR
2026-06-10,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,106.33112043822234,7,7,0,0,701.0,701.0,1,11.6833,11.6833,100.0,0.0,0.0,208.46,75.0,,,0.0,-0.09,280.05,133.33,,,0.0,0.0,2026-06-08,EUR
2026-06-11,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,13.136459971146389,1,1,0,0,701.0,701.0,1,11.6833,11.6833,100.0,0.0,0.0,-87.65,-85.71,,,0.0,0.0,-48.35,0.0,,,0.0,-0.09,2026-06-08,EUR
2026-06-12,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,15.884765847309115,2,2,0,0,701.0,701.0,1,11.6833,11.6833,100.0,0.0,0.0,20.92,100.0,,,0.0,0.0,-64.89,-50.0,,-100.0,0.0,0.1,2026-06-08,EUR
2026-06-13,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,24.880196910789508,3,3,0,0,701.0,701.0,1,11.6833,11.6833,100.0,0.0,0.0,56.63,50.0,,,0.0,0.0,-74.3,-66.67,-100.0,,0.0,0.0,2026-06-08,EUR
2026-06-14,198953,"VARUS, пр. Олександра Поля, 104",Dnipro,197.34794042557667,13,12,0,1,701.0,701.0,1,11.6833,11.6833,100.0,0.0,7.69,693.19,300.0,,,0.0,0.0,365.93,200.0,-100.0,,0.0,0.0,2026-06-08,EUR
